,Year,Month,Day,Average_Temperature,Maximum_Temperature,Minimum_Temperature,Average_Pressure_Sea_Level,Average_Pressure_Station_Level,Average_Relative_Humidity,Total_Rainfall_Snowmelt,Average_Visibility,Average_Wind_Speed,Maximum_Sustained_Wind_Speed,Maximum_Speed_Of_Wind,Indicator_For_Occurrence_Of_Fog,Indicator_For_Occurrence_Of_Rain,Indicator_For_Occurrence_Of_Snow,Indicator_For_Occurrence_Of_Hail,Indicator_For_Occurrence_Of_Thunder,Indicator_For_Occurrence_Of_Tornado_Funnel_Cloud
78,1991,3,20,13.2,22.4,4.5,-,-,63,0,10.3,2.8,14.8,-,0,0,0,0,0,0
79,1991,3,21,12.4,17.5,8.0,-,-,57,0,10.9,18.0,48.2,57.6,0,0,0,0,0,0
80,1991,3,22,7.6,12.0,4.0,-,-,65,0,11.1,8.3,18.3,-,0,0,0,0,0,0
81,1991,3,23,7.0,12.3,2.6,-,-,55,0,11.3,24.6,40.7,59.4,0,0,0,0,0,0
82,1991,3,24,6.4,10.0,4.0,-,-,52,0,11.9,35.7,55.4,74.1,0,0,0,0,0,0
83,1991,3,25,8.8,12.0,6.0,-,-,59,0,11.1,15.9,24.1,40.7,0,1,0,0,0,0
84,1991,3,26,8.3,11.2,7.0,1009.5,941.3,80,0,9.5,1.5,11.1,-,0,1,0,0,0,0
85,1991,3,27,9.7,15.4,6.0,-,-,69,3.05,9.5,2.4,7.6,-,0,1,0,0,0,0
86,1991,3,28,11.0,17.2,5.0,-,-,59,0,10.8,3.3,11.1,-,0,0,0,0,0,0
87,1991,3,29,12.2,18.2,7.0,-,-,58,0,10.9,6.5,18.3,-,0,0,0,0,0,0
88,1991,3,30,11.6,16.0,8.0,-,-,61,0,11.3,7.0,14.8,-,0,1,0,0,0,0
89,1991,3,31,11.1,16.0,5.0,-,-,54,99.06,10.9,6.1,18.3,-,0,0,0,0,0,0
90,1991,4,1,10.5,17.6,3.0,-,-,50,0,10.3,2.8,11.1,-,0,0,0,0,0,0
91,1991,4,2,10.9,20.0,2.0,-,-,53,0,9.0,8.9,25.9,-,0,0,0,0,0,0
92,1991,4,3,11.3,16.3,7.0,-,-,52,0,11.3,13.7,33.5,-,0,1,0,0,0,0
93,1991,4,4,7.4,13.0,1.0,-,-,66,0,11.1,22.0,55.4,-,0,1,0,0,0,0
94,1991,4,5,8.9,14.2,5.0,-,-,48,3.05,11.4,31.7,44.6,59.4,0,0,0,0,0,0
95,1991,4,6,9.2,16.0,1.0,-,-,51,0,10.3,5.4,16.5,-,0,0,0,0,0,0
96,1991,4,7,10.8,20.2,2.0,-,-,57,0,10.0,3.1,11.1,-,0,0,0,0,0,0
97,1991,4,8,13.9,21.0,7.0,-,-,55,0,10.1,4.1,14.8,-,0,0,0,0,0,0
98,1991,4,9,13.5,22.4,5.0,1023,954.9,57,0,11.1,3.9,11.1,-,0,0,0,0,0,0
99,1991,4,10,13.7,23.5,5.0,-,-,51,0,10.3,3.1,11.1,-,0,0,0,0,0,0
100,1991,4,11,14.7,24.0,7.0,-,-,51,0,10.8,4.3,11.1,-,0,0,0,0,0,0
101,1991,4,12,13.4,22.0,5.0,-,-,51,0,10.9,8.3,25.9,-,0,1,0,0,1,0
102,1991,4,13,8.0,12.2,5.0,-,-,67,1.02,11.1,8.0,22.2,-,0,1,0,0,1,0
103,1991,4,14,8.8,15.0,4.0,-,-,78,2.03,10.9,14.4,33.5,-,0,1,0,0,0,0
104,1991,4,15,9.7,11.8,7.9,-,-,90,23.88,8.2,6.5,24.1,-,0,1,0,0,0,0
105,1991,4,16,12.0,17.0,8.0,-,-,65,0,8.9,3.9,18.3,-,1,0,0,0,0,0
106,1991,4,17,10.7,18.0,4.0,-,-,67,0,9.5,5.2,20.6,-,1,0,0,0,0,0
107,1991,4,18,9.9,16.0,5.0,-,-,49,0,10.8,10.7,25.9,-,0,0,0,0,0,0
108,1991,4,19,10.6,20.0,1.0,-,-,45,0,11.4,9.6,29.4,-,0,0,0,0,0,0
109,1991,4,20,7.9,14.6,1.8,-,-,49,0,10.8,13.7,25.9,-,0,0,0,0,0,0
110,1991,4,21,7.2,13.4,1.0,-,-,49,0,10.1,15.7,29.4,-,0,0,0,0,0,0
111,1991,4,22,8.9,18.0,1.0,-,-,52,0,10.8,3.9,14.8,-,0,0,0,0,0,0
112,1991,4,23,10.6,19.3,3.0,-,-,50,0,10.8,6.3,14.8,-,0,0,0,0,0,0
113,1991,4,24,9.8,17.6,2.0,-,-,53,0,10.8,14.3,40.7,55.4,0,0,0,0,0,0
114,1991,4,25,9.8,14.4,4.4,-,-,47,0,11.1,23.7,44.3,48.2,0,1,0,0,0,0
115,1991,4,26,8.6,15.0,4.0,-,-,47,0,12.1,15.9,48.2,-,0,1,0,0,0,0
116,1991,4,27,8.2,15.0,-1.0,-,-,54,0,10.8,8.0,22.2,-,0,0,0,0,0,0
117,1991,4,28,11.7,19.0,4.0,-,-,54,0,11.3,5.7,20.6,-,0,0,0,0,0,0
118,1991,4,29,12.6,21.8,3.0,-,-,51,0,9.8,3.3,11.1,-,0,0,0,0,0,0
119,1991,4,30,15.6,23.8,6.0,-,-,51,0,10.9,9.8,25.9,29.4,0,0,0,0,0,0
120,1991,5,1,12.1,17.4,5.0,-,946,53,0,10.8,19.6,46.5,77.8,0,1,0,1,0,0
121,1991,5,2,8.1,13.2,5.0,-,947.2,54,0,11.1,34.4,55.4,74.1,0,0,0,0,0,0
122,1991,5,3,8.9,14.8,4.0,-,948.3,48,0,10.9,28.5,38.9,-,0,0,0,0,0,0
123,1991,5,4,8.2,16.5,-1.0,-,947.9,52,0,10.6,10.0,25.9,-,0,0,0,0,0,0
124,1991,5,5,9.9,16.0,4.0,-,945.7,55,0,11.3,13.1,37,40.7,0,0,0,0,0,0
125,1991,5,6,8.1,15.8,0.0,-,949.8,51,0,10.5,9.3,25.9,-,0,0,0,0,0,0
126,1991,5,7,10.3,20.4,0.0,-,945.8,50,0,10.9,6.1,22.2,-,0,0,0,0,0,0
127,1991,5,8,10.3,14.4,6.0,-,941.4,49,0,11.4,18.3,37,51.9,0,0,0,0,0,0
128,1991,5,9,9.1,15.0,2.6,-,945.7,52,0,11.1,20.7,35.2,-,0,0,0,0,0,0
129,1991,5,10,9.9,17.2,5.0,-,948.1,60,0,11.1,5.6,22.2,-,0,1,0,0,0,0
130,1991,5,11,9.6,17.4,2.6,-,952.3,52,0,11.7,12.0,25.9,-,0,0,0,0,0,0
131,1991,5,12,12.9,21.6,3.0,-,955.7,48,0,11.1,16.9,31.7,-,0,0,0,0,0,0
132,1991,5,13,15.6,22.8,10.0,-,955.9,51,0,11.3,17.4,29.4,-,0,0,0,0,0,0
133,1991,5,14,15.1,24.7,4.0,-,955,47,0,10.3,6.3,14.8,-,0,0,0,0,0,0
134,1991,5,15,17.2,27.9,7.0,-,952.5,44,0,10.3,8.3,29.4,-,0,0,0,0,0,0
135,1991,5,16,15.6,26.0,7.0,-,953.4,43,0,10.1,14.3,27.8,37,0,0,0,0,0,0
136,1991,5,17,15.0,23.5,6.8,-,953.9,48,0,10.8,15.0,31.7,37,0,0,0,0,0,0
137,1991,5,18,14.8,22.4,8.0,-,953.7,50,0,10.6,14.6,24.1,-,0,0,0,0,0,0
138,1991,5,19,14.7,24.0,4.0,-,953.9,45,0,10.0,11.5,29.4,-,0,0,0,0,0,0
139,1991,5,20,15.6,25.2,7.0,-,955.1,46,0,10.3,9.6,22.2,-,0,0,0,0,0,0
140,1991,5,21,17.6,25.4,8.0,-,960.2,46,0,10.5,5.7,24.1,-,0,0,0,0,0,0
141,1991,5,22,18.1,28.0,7.0,-,962.2,39,0,10.1,3.5,11.1,-,0,0,0,0,0,0
142,1991,5,23,19.4,30.2,7.0,-,955.4,38,0,10.6,6.3,24.1,-,0,0,0,0,0,0
143,1991,5,24,22.0,30.0,14.0,-,949.6,37,0,10.5,13.3,25.9,-,0,0,0,0,0,0
144,1991,5,25,20.7,29.5,11.0,-,951.3,39,0,10.3,9.1,18.3,-,0,0,0,0,0,0
145,1991,5,26,20.7,29.8,11.0,-,952.8,41,0,10.5,5.6,18.3,-,0,0,0,0,0,0
146,1991,5,27,20.1,29.0,11.0,-,951.1,37,0,10.0,7.0,25.9,-,0,0,0,0,0,0
147,1991,5,28,19.1,29.0,9.0,-,948.1,39,0,10.9,8.1,18.3,-,0,0,0,0,0,0
148,1991,5,29,20.4,30.0,11.0,-,945.6,46,0,11.1,7.4,46.5,64.8,0,1,0,0,1,0
149,1991,5,30,18.8,24.6,14.0,-,945.5,56,2.03,10.9,13.5,29.4,-,0,0,0,0,0,0
150,1991,5,31,15.7,22.8,11.8,-,946.6,63,0,10.9,9.1,25.9,-,0,0,0,0,0,0
151,1991,6,1,16.3,23.4,13.0,-,946.6,62,0,11.4,8.1,22.2,-,0,0,0,0,0,0
152,1991,6,2,17.5,25.0,12.0,-,947.4,57,0,11.1,4.8,29.4,-,0,0,0,0,1,0
153,1991,6,3,18.3,26.5,10.0,-,948.7,55,0,10.9,6.7,27.8,42.4,0,1,0,0,1,0
154,1991,6,4,20.8,27.5,14.0,-,947.8,42,0,10.3,17.6,37,-,0,1,0,0,0,0
155,1991,6,5,20.3,27.5,12.0,-,948.2,41,0,9.8,17.6,29.4,-,0,0,0,0,0,0
156,1991,6,6,21.1,27.0,17.0,-,948.6,53,0,11.4,19.8,33.5,-,0,0,0,0,0,0
157,1991,6,7,18.6,23.4,15.0,-,944.6,57,0,11.1,35.4,44.6,64.8,0,0,0,0,0,0
158,1991,6,8,19.4,28.0,9.0,-,949.2,45,0,10.3,7.2,25.9,-,0,0,0,0,0,0
159,1991,6,9,22.6,32.7,11.8,-,949.2,41,0,10.9,7.4,18.3,-,0,0,0,0,0,0
160,1991,6,10,21.7,27.2,15.0,-,950.2,46,0,11.7,11.3,33.5,-,0,0,0,0,0,0
161,1991,6,11,20.7,30.0,12.0,-,954,44,0,11.1,6.3,14.8,-,0,0,0,0,0,0
162,1991,6,12,23.4,33.0,13.0,-,951.7,39,0,11.1,7.4,18.3,-,0,0,0,0,0,0
163,1991,6,13,25.4,35.2,14.0,-,947.8,39,0,10.6,8.5,24.1,-,0,0,0,0,0,0
164,1991,6,14,26.7,35.5,17.0,-,947.3,42,0,10.5,4.6,16.5,-,0,0,0,0,0,0
165,1991,6,15,25.9,36.0,18.0,-,945.7,45,0,10.5,10.4,55.4,74.1,0,1,0,0,1,0
166,1991,6,16,23.3,32.0,13.0,-,944.3,48,2.03,10.9,17.2,37,44.6,0,1,0,0,1,0
167,1991,6,17,17.2,26.0,10.0,-,949.7,41,0,10.3,16.3,29.4,-,0,0,0,0,0,0
168,1991,6,18,17.7,26.0,10.0,-,951.2,41,0,10.8,15.6,29.4,-,0,0,0,0,0,0
169,1991,6,19,19.3,27.0,10.0,-,951.4,42,0,10.9,9.1,22.2,-,0,0,0,0,0,0
170,1991,6,20,24.3,31.4,18.0,-,948.5,40,0,11.4,10.4,25.9,-,0,0,0,0,0,0
171,1991,6,21,25.2,32.6,16.0,-,948.4,41,0,11.1,8.5,29.4,-,0,0,0,0,0,0
172,1991,6,22,25.1,33.0,14.0,-,951.1,36,0,10.8,10.9,29.4,-,0,0,0,0,0,0
173,1991,6,23,25.4,34.8,15.0,-,955.1,34,0,10.8,7.8,25.9,-,0,0,0,0,0,0
174,1991,6,24,26.3,37.0,15.0,-,954.6,33,0,10.3,5.0,14.8,-,0,0,0,0,0,0
175,1991,6,25,28.3,38.0,19.0,-,952,35,0,10.6,9.1,25.9,-,0,0,0,0,0,0
176,1991,6,26,27.9,37.5,17.8,-,949.9,34,0,10.5,11.1,33.5,50,0,0,0,0,0,0
177,1991,6,27,25.5,34.4,17.0,-,949.3,38,0,10.0,8.5,29.4,-,0,0,0,0,0,0
178,1991,6,28,22.5,31.2,13.0,-,951.5,35,0,11.6,13.7,33.5,-,0,0,0,0,0,0
179,1991,6,29,22.1,31.5,12.0,-,953.5,33,0,10.8,9.3,25.9,-,0,0,0,0,0,0
180,1991,6,30,24.2,33.0,13.0,-,954.8,39,0,10.1,6.1,22.2,-,0,0,0,0,0,0
181,1991,7,1,23.4,33.5,17.8,-,952.8,48,0,11.1,13.7,33.5,-,0,1,0,0,1,0
182,1991,7,2,22.1,29.6,15.8,-,948.8,54,3.05,11.4,10.7,29.4,-,0,1,0,0,0,0
183,1991,7,3,21.0,30.0,15.0,-,945.6,52,0,11.1,10.0,33.5,-,0,1,0,0,1,0
184,1991,7,4,22.4,30.6,15.0,-,945.3,43,3.05,11.1,15.9,33.5,-,0,0,0,0,0,0
185,1991,7,5,19.8,25.5,14.0,-,948.3,40,0,11.4,17.8,33.5,-,0,0,0,0,0,0
186,1991,7,6,18.8,26.0,10.0,-,953.4,42,0,11.3,8.3,25.9,-,0,0,0,0,0,0
187,1991,7,7,21.7,30.6,12.0,-,954.5,44,0,11.4,9.6,22.2,27.8,0,0,0,0,0,0
188,1991,7,8,25.6,34.0,16.0,-,954.5,42,0,11.1,5.9,14.8,-,0,0,0,0,0,0
189,1991,7,9,27.4,36.5,19.0,-,952.2,37,0,10.9,5.9,18.3,-,0,0,0,0,0,0
190,1991,7,10,28.3,37.5,18.0,-,950.7,36,0,10.0,8.0,22.2,-,0,0,0,0,0,0
191,1991,7,11,29.0,37.8,20.0,-,951.1,35,0,10.8,6.3,22.2,-,0,0,0,0,0,0
192,1991,7,12,28.8,40.0,19.0,-,952.6,33,0,10.6,6.1,25.9,-,0,0,0,0,0,0
193,1991,7,13,29.3,39.6,19.0,-,953,34,0,10.0,9.8,35.2,-,0,0,0,0,0,0
194,1991,7,14,28.0,36.4,17.0,-,952.3,36,0,10.6,8.9,27.8,-,0,0,0,0,0,0
195,1991,7,15,27.9,37.2,19.0,-,950.3,34,0,10.0,8.3,18.3,-,0,0,0,0,0,0
196,1991,7,16,29.3,39.0,18.0,-,948.7,32,0,11.4,10.6,31.7,-,0,0,0,0,0,0
197,1991,7,17,30.2,38.0,21.6,-,950.2,29,0,10.0,9.3,29.4,-,0,0,0,0,0,0
198,1991,7,18,28.5,39.5,15.6,-,950.7,29,0,9.5,7.2,22.2,-,0,0,0,0,0,0
199,1991,7,19,29.0,37.6,20.0,-,949.3,32,0,10.6,7.0,29.4,-,0,0,0,0,0,0
200,1991,7,20,24.6,35.4,18.0,-,949.8,51,5.08,10.0,8.5,-,114.8,0,1,0,0,1,0
201,1991,7,21,24.7,35.5,17.0,-,948.5,48,2.03,10.5,5.2,14.8,-,0,0,0,0,1,0
202,1991,7,22,25.3,33.0,16.0,-,947.3,38,0,10.6,8.0,22.2,-,0,0,0,0,0,0
203,1991,7,23,27.2,36.2,16.2,-,948.9,35,0,11.3,8.0,18.3,31.7,0,0,0,0,0,0
204,1991,7,24,27.7,36.0,18.0,-,948.3,34,0,10.1,8.5,25.9,-,0,0,0,0,0,0
205,1991,7,25,25.6,34.4,17.0,-,948.3,40,0,10.5,11.5,22.2,29.4,0,0,0,0,0,0
206,1991,7,26,24.6,33.0,15.8,-,949.6,36,0,10.0,8.9,18.3,-,0,0,0,0,0,0
207,1991,7,27,26.7,36.6,17.0,-,947.7,37,0,10.5,6.9,18.3,-,0,0,0,0,0,0
208,1991,7,28,27.8,36.0,18.6,-,943.6,32,0,10.6,12.4,29.4,42.4,0,0,0,0,0,0
209,1991,7,29,23.2,27.4,19.4,-,943.9,38,0,11.4,26.9,44.3,61.1,0,0,0,0,0,0
210,1991,7,30,19.3,25.0,12.0,-,946.1,44,0,10.6,12.6,22.2,-,0,0,0,0,0,0
211,1991,7,31,21.4,29.4,12.4,-,949.8,42,0,10.8,12.8,25.9,-,0,0,0,0,0,0
212,1991,8,1,24.7,34.4,15.0,-,951.6,42,0,11.7,5.7,18.3,-,0,0,0,0,0,0
213,1991,8,2,27.4,36.2,17.0,-,953.1,38,0,11.1,4.4,13,-,0,0,0,0,0,0
214,1991,8,3,29.5,38.2,20.0,-,953.2,33,0,11.3,4.3,16.5,-,0,0,0,0,0,0
215,1991,8,4,30.3,38.8,21.0,-,951.3,32,0,10.5,7.6,18.3,-,0,0,0,0,0,0
216,1991,8,5,29.4,40.0,21.0,-,950.3,34,0,10.3,5.4,18.3,-,0,0,0,0,0,0
217,1991,8,6,30.2,39.0,19.0,-,947.9,32,0,10.8,7.0,20.6,-,0,0,0,0,0,0
218,1991,8,7,29.4,38.0,21.0,-,946.5,33,0,11.1,14.4,31.7,-,0,0,0,0,0,0
219,1991,8,8,23.4,29.4,16.0,-,951.1,42,0,10.5,22.2,37,55.4,0,0,0,0,0,0
220,1991,8,9,19.9,28.0,12.0,-,954.1,46,0,10.5,26.5,37,55.4,0,0,0,0,0,0
221,1991,8,10,23.7,32.6,15.4,-,954.3,47,0,11.3,14.4,27.8,-,0,0,0,0,0,0
222,1991,8,11,24.3,31.0,17.0,-,953,46,0,10.6,7.8,18.3,-,0,0,0,0,0,0
223,1991,8,12,24.8,33.0,15.0,-,951.7,44,0,10.0,4.3,14.8,-,0,0,0,0,0,0
224,1991,8,13,27.2,37.0,17.0,-,950.9,36,0,10.1,5.4,14.8,-,0,0,0,0,0,0
225,1991,8,14,28.2,39.0,17.6,-,950.1,35,0,10.5,6.9,27.8,-,0,0,0,0,0,0
226,1991,8,15,28.8,40.0,18.0,-,951.1,34,0,10.6,5.0,18.3,-,0,0,0,0,0,0
227,1991,8,16,29.8,41.0,20.0,-,950.3,34,0,10.6,7.0,29.4,-,0,0,0,0,0,0
228,1991,8,17,30.4,41.0,20.0,-,949.7,35,0,11.1,7.8,18.3,-,0,0,0,0,1,0
229,1991,8,18,28.8,37.6,21.8,-,948.9,38,0,11.1,5.7,16.5,-,0,0,0,0,0,0
230,1991,8,19,28.9,36.2,20.0,1013,949.7,35,0,10.3,10.6,29.4,-,0,0,0,0,0,0
231,1991,8,20,27.3,39.0,15.0,-,951.9,35,0,10.0,3.5,16.5,-,0,0,0,0,0,0
232,1991,8,21,28.6,36.0,22.0,-,948.2,34,0,10.6,15.0,59.1,-,0,0,0,0,0,0
233,1991,8,22,23.6,28.0,18.0,-,948.3,46,0,10.6,19.1,31.7,44.6,0,0,0,0,0,0
234,1991,8,23,23.9,32.4,15.0,-,950.9,47,0,10.8,6.3,18.3,-,0,0,0,0,0,0
235,1991,8,24,26.3,36.0,17.0,-,951.2,41,0,10.9,5.6,22.2,-,0,0,0,0,0,0
